code,cause,cause_level,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
1060,Macular degeneration,3,NA,NA,4.,Macular degeneration,NA
1070,Other vision loss,3,NA,NA,5.,Other vision loss,NA
1080,Other hearing loss,3,NA,NA,6.,Other hearing loss,NA
1090,Other sense organ disorders,3,NA,NA,7.,Other sense organ disorders,NA
1100,Cardiovascular diseases,2,NA,H.,Cardiovascular diseases,NA,NA
1110,Rheumatic heart disease,3,NA,NA,1.,Rheumatic heart disease,NA
1120,Hypertensive heart disease,3,NA,NA,2.,Hypertensive heart disease,NA
1130,Ischaemic heart disease,3,NA,NA,3.,Ischaemic heart disease,NA
1140,Stroke,3,NA,NA,4.,Stroke,NA
1141,Ischaemic stroke,4,NA,NA,NA,a.,Ischaemic stroke
1142,Haemorrhagic stroke,4,NA,NA,NA,b.,Haemorrhagic stroke
1150,"Cardiomyopathy, myocarditis, endocarditis",3,NA,NA,5.,"Cardiomyopathy, myocarditis, endocarditis",NA
1160,Other circulatory diseases,3,NA,NA,6.,Other circulatory diseases,NA
1170,Respiratory diseases,2,NA,I.,Respiratory diseases,NA,NA
1180,Chronic obstructive pulmonary disease,3,NA,NA,1.,Chronic obstructive pulmonary disease,NA
1190,Asthma,3,NA,NA,2.,Asthma,NA
1200,Other respiratory diseases,3,NA,NA,3.,Other respiratory diseases,NA
1210,Digestive diseases,2,NA,J.,Digestive diseases,NA,NA
1220,Peptic ulcer disease,3,NA,NA,1.,Peptic ulcer disease,NA
1230,Cirrhosis of the liver,3,NA,NA,2.,Cirrhosis of the liver,NA
1231,Cirrhosis due to hepatitis B,4,NA,NA,NA,a.,Cirrhosis due to hepatitis B
1232,Cirrhosis due to hepatitis C,4,NA,NA,NA,b.,Cirrhosis due to hepatitis C
1233,Cirrhosis due to alcohol use,4,NA,NA,NA,c.,Cirrhosis due to alcohol use
1234,Other liver cirrhosis,4,NA,NA,NA,d.,Other liver cirrhosis
1240,Appendicitis,3,NA,NA,3.,Appendicitis,NA
1241,Gastritis and duodenitis,3,NA,NA,4.,Gastritis and duodenitis,NA
1242,Paralytic ileus and intestinal obstruction,3,NA,NA,5.,Paralytic ileus and intestinal obstruction,NA
1244,Inflammatory bowel disease,3,NA,NA,6.,Inflammatory bowel disease,NA
1246,Gallbladder and biliary diseases,3,NA,NA,7.,Gallbladder and biliary diseases,NA
1248,Pancreatitis,3,NA,NA,8.,Pancreatitis,NA
1250,Other digestive diseases,3,NA,NA,9.,Other digestive diseases,NA
1260,Genitourinary diseases,2,NA,K.,Genitourinary diseases,NA,NA
1270,Kidney diseases,3,NA,NA,1.,Kidney diseases,NA
1271,Acute glomerulonephritis,4,NA,NA,NA,a.,Acute glomerulonephritis
1272,Chronic kidney disease due to diabetes,4,NA,NA,NA,b.,Chronic kidney disease due to diabetes
1273,Other chronic kidney disease,4,NA,NA,NA,c.,Other chronic kidney disease
1280,Benign prostatic hyperplasia,3,NA,NA,2.,Benign prostatic hyperplasia,NA
1290,Urolithiasis,3,NA,NA,3.,Urolithiasis,NA
1300,Other urinary diseases,3,NA,NA,4.,Other urinary diseases,NA
1310,Infertility,3,NA,NA,5.,Infertility,NA
1320,Gynecological diseases,3,NA,NA,6.,Gynecological diseases,NA
1330,Skin diseases,2,NA,L.,Skin diseases,NA,NA
1340,Musculoskeletal diseases,2,NA,M.,Musculoskeletal diseases,NA,NA
1350,Rheumatoid arthritis,3,NA,NA,1.,Rheumatoid arthritis,NA
1360,Osteoarthritis,3,NA,NA,2.,Osteoarthritis,NA
1370,Gout,3,NA,NA,3.,Gout,NA
1380,Back and neck pain,3,NA,NA,4.,Back and neck pain,NA
1390,Other musculoskeletal disorders,3,NA,NA,5.,Other musculoskeletal disorders,NA
1400,Congenital anomalies,2,NA,N.,Congenital anomalies,NA,NA
1410,Neural tube defects,3,NA,NA,1.,Neural tube defects,NA
1420,Cleft lip and cleft palate,3,NA,NA,2.,Cleft lip and cleft palate,NA
1430,Down syndrome,3,NA,NA,3.,Down syndrome,NA
1440,Congenital heart anomalies,3,NA,NA,4.,Congenital heart anomalies,NA
1450,Other chromosomal anomalies,3,NA,NA,5.,Other chromosomal anomalies,NA
1460,Other congenital anomalies,3,NA,NA,6.,Other congenital anomalies,NA
1470,Oral conditions,2,NA,O.,Oral conditions,NA,NA
1480,Dental caries,3,NA,NA,1.,Dental caries,NA
1490,Periodontal disease,3,NA,NA,2.,Periodontal disease,NA
1500,Edentulism,3,NA,NA,3.,Edentulism,NA
1502,Other oral disorders,3,NA,NA,4.,Other oral disorders,NA
1505,Sudden infant death syndrome,2,NA,P.,Sudden infant death syndrome,NA,NA
1510,Injuries,1,III.,Injuries,NA,NA,NA
1520,Unintentional injuries,2,NA,A.,Unintentional injuries,NA,NA
1530,Road injury,3,NA,NA,1.,Road injury,NA
1540,Poisonings,3,NA,NA,2.,Poisonings,NA
1550,Falls,3,NA,NA,3.,Falls,NA
1560,"Fire, heat and hot substances",3,NA,NA,4.,"Fire, heat and hot substances",NA
1570,Drowning,3,NA,NA,5.,Drowning,NA
1575,Exposure to mechanical forces,3,NA,NA,6.,Exposure to mechanical forces,NA
1580,Natural disasters,3,NA,NA,7.,Natural disasters,NA
1590,Other unintentional injuries,3,NA,NA,8.,Other unintentional injuries,NA
1600,Intentional injuries,2,NA,B.,Intentional injuries,NA,NA
1610,Self-harm,3,NA,NA,1.,Self-harm,NA
1620,Interpersonal violence,3,NA,NA,2.,Interpersonal violence,NA
1630,Collective violence and legal intervention,3,NA,NA,3.,Collective violence and legal intervention,NA
1700,Other COVID-19 pandemic-related outcomes,2,NA,C.,Other COVID-19 pandemic-related outcomes,NA,NA
