year,code,cause,cause_level,dalys,dalys_thousands,dalys_millions,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,total_dalys,pct_all_dalys
2000,670,Pancreas cancer,3,6286739.61474256,6286.739614742561,6.286739614742561,NA,NA,6.,Pancreas cancer,NA,2841004961.46513,0.002212857668330307
2000,680,"Trachea, bronchus, lung cancers",3,33380766.6115687,33380.7666115687,33.3807666115687,NA,NA,7.,"Trachea, bronchus, lung cancers",NA,2841004961.46513,0.011749633339025907
2000,690,Melanoma and other skin cancers,3,2241951.17680748,2241.95117680748,2.24195117680748,NA,NA,8.,Melanoma and other skin cancers,NA,2841004961.46513,7.891401835677496e-4
2000,691,Malignant skin melanoma,4,1362771.10976872,1362.7711097687202,1.36277110976872,NA,NA,NA,a.,Malignant skin melanoma,2841004961.46513,4.7967924317384076e-4
2000,692,Non-melanoma skin cancer,4,879180.067038756,879.180067038756,0.879180067038756,NA,NA,NA,b.,Non-melanoma skin cancer,2841004961.46513,3.094609403939075e-4
2000,700,Breast cancer,3,14507782.465559,14507.782465559,14.507782465559,NA,NA,9.,Breast cancer,NA,2841004961.46513,0.0051065670994383675
2000,710,Cervix uteri cancer,3,9417603.38266244,9417.603382662439,9.41760338266244,NA,NA,10.,Cervix uteri cancer,NA,2841004961.46513,0.003314884525159612
2000,720,Corpus uteri cancer,3,1743385.44031201,1743.38544031201,1.74338544031201,NA,NA,11.,Corpus uteri cancer,NA,2841004961.46513,6.1365096645693e-4
2000,730,Ovary cancer,3,3751328.22212207,3751.3282221220697,3.75132822212207,NA,NA,12.,Ovary cancer,NA,2841004961.46513,0.001320422974617925
2000,740,Prostate cancer,3,5164994.44379253,5164.994443792531,5.16499444379253,NA,NA,13.,Prostate cancer,NA,2841004961.46513,0.0018180166926315044
2000,742,Testicular cancer,3,447718.099708747,447.718099708747,0.447718099708747,NA,NA,14.,Testicular cancer,NA,2841004961.46513,1.5759145294764112e-4
2000,745,Kidney cancer,3,3077084.12415766,3077.08412415766,3.0770841241576603,NA,NA,15.,Kidney cancer,NA,2841004961.46513,0.0010830970610381414
